UFRUBLU2L2DR2U'F'R2D2FURD'F2U',//3j,T_h - 24
UFU2FL2BU2FL'R'F2DR2U2L2BF'LF2D,superflip,O_h I 48
UFU'R'BF2RFL'RDR'D2F'R'B'U'B'R'D',,T_h A 24
UFU2LF2L2B2D'BF'DF2R2B2R'U2B'U'L'R,,T_h A 24
UFUFUR'U2B'U'F'L2DB'RB'D'LF'D'F,coset exploration,C_2h_(a) - 4
UFUFUBD2BR2LF2UF2RD2BD'F'B2L',coset exploration,C_1 A 1
UFUFR2B2R'UB'U2F'BDR'L'U'FR2BL,coset exploration,C_s_(a) A 2
UFUFD2FRBD'BR'B'UF2U'LU'R'B'D,coset exploration,C_2v_(b) I 4
UFUFBL2D2B'R2LF'R2U'BL2D2RU'L'D,coset exploration,C_3 A 3
UFUFB2D'FD2B2URL'F'U2L2UF2DLB,coset exploration,C_s_(a) I 2
UFUFLBUFL'D2B'D2RFUD2LUD'F2,coset exploration,C_2_(b) - 2
UFUFL2BU'RF'D'B2U2R'D2BD2B'UR2L,coset exploration,S_6 A 6
UFUF2UR'U2F'BR'LF'D'R2D2RB2R2FD',coset exploration,C_3 A 3
UFUF2UR'DBD2F2LUR'FB'R'L'F'R'F2,coset exploration,C_1 A 1
UFUF2RD2FRF'RD'L'UL2FR'F2UFB,coset exploration,C_2h_(a) A 4
UFUF2D2F2R'DL'F2D2F2B'L2U2F'DR'UB',coset exploration,C_s_(a) A 2
UFUF'U'DB'D2BLD'RBUDFD2LD'B,coset exploration,C_1 A 1
UFURU2B2LF'D'F2R'BL'D'FB'U'FD2B,coset exploration,C_1 A 1
UFURF2BR'LU2LB2D'LUBRF'B2D'F,coset exploration,C_2_(b) A 2
UFURF'D'RU'R2B'R'U'L'F'R2F2RF2UR',coset exploration,C_1 A 1
UFURB'RU2DLU2FL2DRU'RDRL'F2,coset exploration,D_2d_(edge) A 8
UFUR2UDR'FU'RLU'BR'UDR2UBD',coset exploration,C_s_(b) A 2
UFUR2U2D'L'F'B'RU'D'R2LFL2FU'B'R',coset exploration,C_2_(b) A 2
UFUR2F2URFRD2B'RU'L2FLD'RUF,coset exploration,S_4 A 4
UFUR'UL'B2R'D'L'F'U2RF'L'F'U2B'R2D,coset exploration,C_2v_(a2) A 4
UFUR'F'U'F2U'F'L'F2R'UD'FULUR'B',coset exploration,C_4h A 8
UFUR'B2R2B'RU2R2F2UF2RL'DL2F2BD,coset exploration,C_1 A 1
UFUDF'R'UF'RBUF2R'B'U'RLUBR2,coset exploration,C_1 A 1
UFUDB'U2LF2D'BLF'U2B2L2F'L'B2U'R',coset exploration,C_1 A 1
UFUD2F2R2L'UDB2RFLB2U'F2R2B'U2L,coset exploration,C_2_(a) A 2
UFUD2BU'R'D'LUF2UB'R2FU2D'F2L'D2,coset exploration,C_i A 2
UFUD2B'RDR'L'ULF'U2DBDB2R'L'F2,coset exploration,D_2h_(face) A 8
UFUD2B'L'FRD'RLF2U'R'F2BD'L'U'R2,coset exploration,C_s_(a) I 2
UFUD2LU2F'B2D2LDFR2UDFR'BDB2,coset exploration,C_2h_(a) A 4
UFUD'F2B'LF'B'L2U2DB2L'UD'RB'U'F,coset exploration,C_2_(a) A 2
UFUD'R'F'U'DB'R'UD'BUL'B2UDF2L',coset exploration,D_2d_(edge) A 8
UFUB'L'B'LD2F'RD'L'F2U2F'BU'R2D'R',coset exploration,C_s_(a) A 2
UFULD2L2D'F2B'U'BL2B2DL'FR2D'RB,coset exploration,C_i A 2
UFULB'L2UBL2U'F2L'U'F2B'D'F'R'L2U2,coset exploration,C_s_(a) A 2
UFUL2B'L'D'F2UR'F'L'BD'F2LB'L2UL,coset exploration,S_4 A 4
UFUL'U'BDRF2U2DB'U2LF'BL'F2D'B,coset exploration,C_2_(b) A 2
UFUL'B2L2FR2UR'F'BU'DRD'RF2DR',coset exploration,C_3 A 3
UFU2F2L2U2R'B2U'L'F'R2F2URD'F2BUR,coset exploration,S_6 A 6
UFU2F'R2LD'RL2DF'UF2B'R'L2F'R2F'D',coset exploration,C_s_(a) A 2
UFU2R'L'B2R'F'R'U2DBR2F2UF2UL'D'B,coset exploration,C_3 A 3
UFU2BU2D2L2B2U2L'UB'D'RFLF2RF2R',coset exploration,S_4 A 4
UFU2LB2ULU'LB'R'FR2UL'U2FUDF,coset exploration,S_4 A 4
UFU2L'U2B2U2D2F'U2D'BL2FL'FR2D'R'L',coset exploration,C_2_(b) I 2
UFU'D'BD'FURL2D2L'UBR2DRB'D2L,coset exploration,S_6 A 6
UFRF'DL'BR'L'B'R2L'U'LF'U2R'L2FD2,coset exploration,C_4h - 8
UFR2F'R'LBDBRUFR'L'B'R2LBR2B2,coset exploration,C_2v_(a2) A 4
UFD2B'U2LU2B'DB2U2R'F'U'L'D'FL2B'U,coset exploration,C_4h I 8
UFUFU'LB'RLFR'L2DRL'ULF2L'B,coset exploration,C_4 I 4
UFUFDRBLUFU2D'F2R'F'R2B'R2U2R2,coset exploration,C_1 A 1
UFURU2LBDLD2F'L'DR'L'D2L'UD'R2,coset exploration,S_4 A 4
UFURFDL2U2FB'UD2R'LDF'L'F'U'L2,coset exploration,S_4 A 4
UFURD'B2D2B'L'F'L'DR'DF2U'LF2R'U,coset exploration,C_2_(b) A 2
UFUR'B'RF2LUR'DF2U2L2F'RB2DFR2,coset exploration,C_s_(a) A 2
UFUD2L'UD'R'FLD2R2F2RD'L2D2R'D'F,coset exploration,C_2v_(b) A 4
UFUD'F'UDRDLU2L2UF'U'B'U'RF2L2,coset exploration,D_2d_(edge) - 8
UFUD'RLD2R'D2F'U'F2B'L'D'R'FD'BR2,coset exploration,D_2h_(face) A 8
UFUBLDBUF2R'L2B2U2B2UL'U'F'B2R',coset exploration,C_3 A 3
UFUB'R'D2L'DB'U2B2LD'F2U'RF'R2DF2,coset exploration,C_i A 2
